Sample	Mdl704	RA_20grp	RA_11grp	RA_6grp	PA_20grp	PA_11grp	PA_6grp	DAYNUM	X_coord	Y_coord	WA_hect	WA_ha_lg	M_Slope	M_Slp_sqt	Mareco	Wcrdeco	Bsnrgeco	Eco1	Eco3	Eco4	Eco9	Eco10	Eco11	Eco12	Eco78	Pcp_ann	Tmx_ann	Wetdays	Loolith	Maflith	Litho1	Litho2	Litho4	Litho5	Litho6	Litho7	Litho8	Elev_m	El_m_sqt	Strm_pwr	Strpw_lg
H108292	C	111	20	20	42	42	42	208	-122.70743	42.15155	2046.160034	3.310939598	13.08154506	3.616841863	0	1	0	0	0	0	0	0	0	0	1	810	142	112	0	0	1	0	0	0	0	0	0	952	30.85449724	591.7371564	2.77212884
H108293	C	20	20	20	6	3	1	209	-122.31623	42.63752	2644.889893	3.422407597	10.48452088	3.237980988	0	1	0	0	0	1	0	0	0	0	0	1202	127	129	1	0	0	1	0	0	0	0	0	1253	35.39774004	539.2031087	2.731752387
H108294	C	24	24	20	1	1	1	209	-122.27775	42.55974	4119.729981	3.614868752	2.627586207	1.620983099	0	1	0	0	0	1	0	0	0	0	0	1339	123	135	0	1	0	0	0	0	0	1	0	1432	37.84177586	168.6519432	2.226991349
H108295	C	24	24	20	42	42	42	210	-122.518	43.11322	4436.790039	3.647068877	8.114475874	2.848591911	0	1	0	0	0	1	0	0	0	0	0	1276	139	137	0	1	0	0	0	0	0	1	0	835	28.89636655	540.4990214	2.732794912
H108296	C	8	4	4	5	5	5	210	-122.55415	43.08846	2809.290039	3.448596579	1.92	1.385640646	0	1	0	0	0	1	0	0	0	0	0	1235	150	135	0	0	1	0	0	0	0	0	0	753	27.44084547	101.7652534	2.007599518
H108302	C	4	4	4	15	15	1	219	-122.12762	43.85665	2545.280029	3.40573557	3.259893048	1.805517391	0	1	0	0	0	1	0	0	0	0	0	1676	138	157	0	1	0	0	0	0	0	1	0	868	29.46183973	164.4641091	2.216071137
H108303	C	18	18	1	11	11	11	219	-122.07191	43.8753	18752.59961	4.273061481	2.428685259	1.558423966	0	1	0	0	0	1	0	0	0	0	0	1670	135	155	1	0	0	1	0	0	0	0	0	894	29.89983278	332.5844787	2.521901977
H108304	C	4	4	4	15	15	1	220	-122.17071	44.153	1186.310059	3.074198213	6.626086957	2.574118676	0	1	0	0	0	1	0	0	0	0	0	1748	155	156	1	0	0	0	0	0	1	0	0	593	24.35159132	228.2213329	2.358356237
H108305	C	1	1	1	78	42	42	223	-122.21295	44.51842	162.6300049	2.211200675	32.95135135	5.740326763	0	1	0	0	0	1	0	0	0	0	0	2333	138	176	0	1	0	0	0	0	0	1	0	589	24.2693222	420.2169511	2.623473567
H108307	C	24	24	20	78	42	42	224	-122.19011	44.5191	289.8659973	2.462197273	14.17674419	3.765201746	0	1	0	0	0	1	0	0	0	0	0	2286	138	175	1	0	0	0	0	0	1	0	0	625	25	241.36547	2.38267514
H108308	C	31	31	31	79	5	5	225	-121.93954	45.26962	3071.959961	3.487415551	3.483428571	1.866394538	0	1	0	0	0	1	0	0	0	0	0	2064	134	174	0	1	0	0	0	0	0	1	0	507	22.5166605	193.0699504	2.285714685
H108309	C	31	31	31	79	5	5	225	-121.9375	45.27337	21413.30078	4.330683617	1.481409478	1.21713166	0	1	0	0	0	1	0	0	0	0	0	2064	134	174	0	0	1	0	0	0	0	0	0	535	23.13006701	216.7788598	2.336016928
H108328	C	72	24	20	7	7	7	188	-124.06723	44.26862	1901.75	3.279153425	1.088571429	1.043346265	1	0	0	1	0	0	0	0	0	0	0	2284	163	169	0	1	0	0	0	0	0	1	0	56	7.483314774	47.47157534	1.676433644
H108329	C	41	3	1	79	5	5	189	-123.90649	44.90697	1119.479981	3.049016332	5.038016529	2.244552634	1	0	0	1	0	0	0	0	0	0	0	2923	160	189	0	1	0	0	0	0	0	1	0	124	11.13552873	168.5651354	2.226767754
H108330	C	72	24	20	5	5	5	190	-123.6388	45.56287	87.9559021	1.944264987	1.430985915	1.196238235	1	0	0	1	0	0	0	0	0	0	0	3527	147	210	0	1	0	0	0	0	0	1	0	333	18.24828759	13.42047393	1.127767853
H108331	C	31	31	31	79	5	5	190	-123.3465	45.73664	638.7930298	2.805360169	1.553121019	1.246242761	1	0	0	1	0	0	0	0	0	0	0	2059	141	180	0	0	0	0	1	0	0	0	0	342	18.49324201	39.25413227	1.593885382
H108343	C	111	20	20	42	42	42	209	-122.654999	42.94499969	2761.459961	3.441138751	4.976326531	2.230768148	0	1	0	0	0	1	0	0	0	0	0	1210	131	131	0	0	1	0	0	0	0	0	0	732	27.05549852	261.503945	2.417478245
H108344	C	111	20	20	6	3	1	209	-122.65663	42.94401	1762.719971	3.246183325	3.644843049	1.909147205	0	1	0	0	0	1	0	0	0	0	0	1169	139	129	0	0	1	0	0	0	0	0	0	727	26.96293753	153.0278562	2.184770494
H108345	C	4	4	4	4	4	4	210	-122.72615	43.48689	1690.310059	3.227966376	1.32955289	1.153062396	0	1	0	0	0	1	0	0	0	0	0	1616	162	158	0	0	1	0	0	0	0	0	0	649	25.47547841	54.6624139	1.737688806
H108346	C	1	1	1	18	4	4	210	-122.72368	43.54734	599.7960205	2.77800358	9.306870229	3.050716347	0	1	0	0	0	1	0	0	0	0	0	1680	159	161	0	0	1	0	0	0	0	0	0	679	26.05762844	227.9320772	2.357805448
H108347	C	4	4	4	18	4	4	210	-122.71896	43.54496	233.8430023	2.368924378	9.912195122	3.14836388	0	1	0	0	0	1	0	0	0	0	0	1680	159	161	0	0	1	0	0	0	0	0	0	754	27.45906044	151.5765548	2.180632032
H108361	C	62	3	1	15	15	1	220	-122.01753	44.10788	438.1549988	2.641627771	4.196901893	2.048634153	0	1	0	0	0	1	0	0	0	0	0	1890	147	159	1	0	0	1	0	0	0	0	0	702	26.4952826	87.8501895	1.943742703
H108362	C	62	3	1	15	15	1	220	-122.00891	44.05882	5302.649902	3.724492955	4.896385542	2.212777789	0	1	0	0	0	1	0	0	0	0	0	1880	139	159	1	0	0	1	0	0	0	0	0	840	28.98275349	356.5513492	2.552122084
H108363	C	20	20	20	15	15	1	220	-122.0184	44.07177	13749.90039	4.138299552	2.463030303	1.569404442	0	1	0	0	0	1	0	0	0	0	0	1903	137	161	1	0	0	1	0	0	0	0	0	792	28.14249456	288.8148576	2.460619531
H108364	C	18	18	1	15	15	1	221	-122.00392	44.12679	14193.7002	4.152095628	4.233333333	2.057506582	0	1	0	0	0	1	0	0	0	0	0	1877	152	158	0	1	0	0	0	0	0	1	0	698	26.41968963	504.3479734	2.70273028
H108365	C	62	3	1	6	3	1	223	-121.9227	44.49514	2023.550049	3.30611395	4.976326531	2.230768148	0	1	0	0	0	1	0	0	0	0	0	2070	118	162	0	0	1	0	0	0	0	0	0	1360	36.87817783	223.8545081	2.349965845
H108366	C	20	20	20	15	15	1	223	-121.92055	44.70736	454.473999	2.657509042	15.53121019	3.940965642	0	1	0	0	0	1	0	0	0	0	0	2027	133	163	0	0	1	0	0	0	0	0	0	1023	31.98437118	331.1004859	2.519959818
H108367	C	20	20	20	6	3	1	223	-121.88554	44.73921	2148.23999	3.332082797	3.920257235	1.979963948	0	1	0	0	0	1	0	0	0	0	0	1994	129	162	1	0	0	1	0	0	0	0	0	925	30.41381265	181.7004335	2.259355963
H108369	C	111	20	20	5	5	5	224	-122.16938	44.95037	3999.340088	3.601988336	1.726912181	1.314120307	0	1	0	0	0	1	0	0	0	0	0	2155	125	175	0	0	1	0	0	0	0	0	0	643	25.35744467	109.2105064	2.038264421
H108370	C	10	10	10	79	5	5	225	-121.83594	45.31558	1007.640015	3.003305406	2.616309013	1.617500854	0	1	0	0	0	1	0	0	0	0	0	2236	110	173	0	1	0	0	0	0	0	1	0	764	27.64054992	83.05040221	1.91934174
H108380	C	111	20	20	6	3	1	208	-122.795	42.1021	1477.729981	3.169595084	9.562352941	3.092305441	0	1	0	0	0	0	0	0	0	0	1	1293	114	135	0	0	1	0	0	0	0	0	0	1326	36.41428291	367.5888347	2.565362311
H111013	C	72	24	20	21	4	4	178	-122.92092	45.03631	437.0950012	2.64057584	2.419047619	1.555328782	2	0	0	1	1	0	0	0	0	0	0	1047	174	137	1	0	0	1	0	0	0	0	0	41	6.403124237	50.57458612	1.703932337
H111015	C	72	24	20	21	4	4	179	-123.9527	44.47257	1603.979981	3.205198943	2.545302714	1.595400487	1	0	0	1	0	0	0	0	0	0	0	2048	164	162	0	0	0	0	1	0	0	0	0	36	6	101.9386581	2.008338912
H111019	C	110	110	31	27	7	7	184	-123.982	42.0424	9157.660156	3.961784523	1.787683284	1.337042738	0	1	0	0	0	0	0	0	0	0	1	2556	166	135	0	0	0	0	1	0	0	0	0	433	20.80865205	171.0735393	2.233182841
H111021	C	20	20	20	18	4	4	185	-123.9713	42.05301	3875.959961	3.588379282	4.233333333	2.057506582	0	1	0	0	0	0	0	0	0	0	1	2780	165	143	0	0	0	0	1	0	0	0	0	416	20.39607805	263.5555143	2.420872107
H111023	C	110	110	31	27	7	7	186	-124.04222	42.57171	9214.62717	3.964477768	5.61843318	2.370323434	0	1	0	0	0	0	0	0	0	0	1	1879	201	134	0	0	0	0	1	0	0	0	0	53	7.280109889	539.3294111	2.731854104
H111024	C	110	110	31	27	7	7	186	-124.03798	42.27676	5487.799805	3.73939826	1.555102041	1.247037305	0	1	0	0	0	0	0	0	0	0	1	2730	170	149	0	0	0	0	1	0	0	0	0	167	12.92284798	115.2014701	2.061458021
H111026	C	20	20	20	78	42	42	188	-124.06568	42.44233	267.0750122	2.426633257	29.02857143	5.387816945	0	1	0	0	0	0	0	0	0	0	1	2567	187	149	0	1	0	0	0	0	0	0	1	777	27.87471973	474.3973912	2.676142292
H111040	C	24	24	20	15	15	1	200	-122.65551	42.94449	4588.379781	3.661659357	4.146938776	2.036403392	0	1	0	0	0	1	0	0	0	0	0	1169	139	129	0	0	1	0	0	0	0	0	0	722	26.87005769	280.9035982	2.448557302
H111048	C	24	24	20	5	5	5	203	-122.64662	42.8272	3139.570068	3.49687018	2.861971831	1.691736336	0	1	0	0	0	1	0	0	0	0	0	1186	142	129	0	0	1	0	0	0	0	0	0	747	27.33130074	160.3616237	2.205100445
H111101	C	72	24	20	15	15	1	217	-122.10707	43.70219	1840.359985	3.264902782	4.292957746	2.071945401	0	1	0	0	0	1	0	0	0	0	0	1700	123	159	0	1	0	0	0	0	0	1	0	1043	32.29551052	184.1653848	2.265208005
H111113	C	3	3	1	18	4	4	220	-122.20697	44.04921	195.2689972	2.290633296	10.51034483	3.241966198	0	1	0	0	0	1	0	0	0	0	0	1768	154	161	0	0	1	0	0	0	0	0	0	771	27.76688675	146.8701752	2.166933613
H111114	C	31	31	31	7	7	7	220	-122.20323	44.04291	8110.029785	3.909022449	4.566292135	2.136888424	0	1	0	0	0	1	0	0	0	0	0	1768	154	161	0	0	1	0	0	0	0	0	0	568	23.83275058	411.2206519	2.614074917
H111137	C	31	31	31	5	5	5	228	-122.28402	44.40748	471.2879944	2.673286377	13.10967742	3.620728852	0	1	0	0	0	1	0	0	0	0	0	1867	145	163	0	0	1	0	0	0	0	0	0	467	21.61018278	284.6001953	2.454235194
H111138	C	31	31	31	5	5	5	228	-122.34636	44.3988	974.7210083	2.988880327	3.920257235	1.979963948	0	1	0	0	0	1	0	0	0	0	0	1929	153	168	0	0	1	0	0	0	0	0	0	389	19.72308292	122.3924782	2.087754728
H111139	C	24	24	20	15	15	1	224	-122.20207	44.84289	2511.51001	3.399934913	5.08	2.253885534	0	1	0	0	0	1	0	0	0	0	0	2372	130	176	0	0	1	0	0	0	0	0	0	696	26.38181192	254.584037	2.405831169
H111140	C	1	1	1	15	15	1	224	-122.16729	44.85558	1032.300049	3.013805948	3.086582278	1.756867177	0	1	0	0	0	1	0	0	0	0	0	2654	126	185	0	0	1	0	0	0	0	0	0	802	28.31960452	99.17011851	1.996380832
H111145	C	24	24	20	15	15	1	230	-122.02499	45.48101	1431.170044	3.155691237	5.61843318	2.370323434	0	1	0	0	0	1	0	0	0	0	0	2329	143	187	0	0	1	0	0	0	0	0	0	486	22.04540769	212.5498676	2.327460839
H111148	C	31	31	31	5	5	5	231	-122.11186	45.16138	10602.79981	4.025420561	5.697196262	2.386880027	0	1	0	0	0	1	0	0	0	0	0	1786	149	166	0	1	0	0	0	0	0	1	0	334	18.27566688	586.6397155	2.768371461
H111149	C	110	110	31	79	5	5	231	-122.10135	45.29933	3733.709961	3.572140578	2.966423358	1.722330792	0	1	0	0	0	1	0	0	0	0	0	2159	139	184	0	0	1	0	0	0	0	0	0	494	22.22611077	181.2606034	2.258303421
H111165	C	18	18	1	6	3	1	201	-122.22998	43.24455	1302.810059	3.114881103	2.583050847	1.607187247	0	1	0	0	0	1	0	0	0	0	0	1201	140	133	0	0	1	0	0	0	0	0	0	1264	35.55277767	93.23382604	1.969573507
H113114	C	1	1	1	8	8	4	219	-122.54414	43.97354	354.1549988	2.549193376	3.575366569	1.890863974	0	1	0	0	0	1	0	0	0	0	0	1578	166	162	0	0	1	0	0	0	0	0	0	342	18.49324201	67.28484605	1.827917263
H113789	C	110	110	31	79	5	5	200	-117.79	45.957	3835.080078	3.583774437	1.97	1.403566885	0	1	0	0	0	0	0	0	1	0	0	915	134	124	0	1	0	0	0	0	0	1	0	880	29.66479395	121.998206	2.086353445
H113795	C	4	4	4	36	36	11	247	-118.684	44.814	2836.939941	3.452850142	1.9	1.378404875	0	1	0	0	0	0	0	0	1	0	0	798	109	116	1	0	0	1	0	0	0	0	0	1607	40.08740451	101.1995711	2.005178672
H114213	C	105	31	31	106	36	11	195	-118.432	44.889	1855.709961	3.268510099	0.47	0.68556546	0	1	0	0	0	0	0	0	1	0	0	726	115	114	0	0	1	0	0	0	0	0	0	1633	40.4103947	20.24663751	1.306352907
H114222	C	31	31	31	16	16	11	203	-117.189	45.667	4224.02002	3.625725968	1.9	1.378404875	0	1	0	0	0	0	0	0	1	0	0	474	145	102	0	1	0	0	0	0	0	1	0	1122	33.49626845	123.4856764	2.091616585
H114223	C	5	5	5	16	16	11	204	-117.188	45.665	4215.709961	3.624870724	1.48	1.216552506	0	1	0	0	0	0	0	0	1	0	0	474	145	102	0	1	0	0	0	0	0	1	0	1167	34.16138171	96.09417828	1.982697077
H114303	C	105	31	31	11	11	11	244	-117.348	45.216	987.7670288	2.994654526	0.49	0.7	0	1	0	0	0	0	0	0	1	0	0	1716	72	162	0	0	1	0	0	0	0	0	0	2156	46.43274706	15.40009297	1.187523343
H114305	C	4	4	4	4	4	4	234	-120.171	44.402	1542.339966	3.188180112	2.38	1.542724862	0	1	0	0	0	0	0	0	1	0	0	575	127	87	0	1	0	0	0	0	0	1	0	1478	38.44476557	93.46887451	1.970667013
H114318	C	4	4	4	6	3	1	227	-118.306	44.8977	2419.729981	3.383766905	1.93	1.389244399	0	1	0	0	0	0	0	0	1	0	0	861	108	124	1	0	0	1	0	0	0	0	0	1754	41.88078318	94.93814936	1.977440762
H114319	C	7	5	5	27	7	7	219	-116.896	45.087	1091.319946	3.037952093	2.81	1.676305461	0	1	0	0	0	0	0	0	1	0	0	1013	122	116	0	1	0	0	0	0	0	1	0	1355	36.81032464	92.82872092	1.967682366
H114322	C	105	31	31	106	36	11	232	-117.672	45.384	11239.90039	4.050762462	2.02	1.42126704	0	1	0	0	0	0	0	0	1	0	0	727	110	119	0	1	0	0	0	0	0	1	0	1087	32.96968304	214.1571609	2.330732601
H114323	C	105	31	31	11	11	11	228	-118.126	44.959	2337.629883	3.36877575	0.37	0.608276253	0	1	0	0	0	0	0	0	1	0	0	661	116	121	1	0	0	1	0	0	0	0	0	1596	39.94996871	17.88914562	1.252589599
H117653	C	3	3	1	9	4	4	188	-120.131	44.248	2389.139893	3.37824158	2.62	1.618641406	0	1	0	0	0	0	0	0	1	0	0	438	149	83	0	1	0	0	0	0	0	1	0	1331	36.48287269	128.0625311	2.107422081
H117752	C	16	16	10	7	7	7	227	-119.633	44.478	7507.790039	3.875512119	2.8	1.673320053	0	1	0	0	0	0	0	0	1	0	0	303	179	78	0	0	0	0	1	0	0	0	0	818	28.60069929	242.6130127	2.384914091
H117757	C	105	31	31	16	16	11	246	-119.361	44.925	1961.75	3.292643661	2.13	1.459451952	0	1	0	0	0	0	0	0	1	0	0	345	174	87	0	1	0	0	0	0	0	1	0	704	26.53299832	94.34120825	1.974701434
H117771	C	3	3	1	4	4	4	230	-118.522	44.42	6034.700195	3.780655699	1.55	1.24498996	0	1	0	0	0	0	0	0	1	0	0	590	131	103	0	1	0	0	0	0	0	1	0	1304	36.11094017	120.4091658	2.080659548
H117772	C	105	31	31	106	36	11	232	-118.311	44.25	5358.319824	3.729028632	1.31	1.144552314	0	1	0	0	0	0	0	0	1	0	0	723	119	98	0	1	0	0	0	0	0	1	0	1566	39.57271787	95.89271426	1.981785612
H117773	C	3	3	1	106	36	11	233	-118.392	44.264	1051.969971	3.022003343	2.45	1.565247584	0	1	0	0	0	0	0	0	1	0	0	741	122	102	0	1	0	0	0	0	0	1	0	1542	39.26830783	79.46351205	1.900167756
H119599	C	41	3	1	106	36	11	174	-121.425	43.725	5992.450195	3.777604433	0.7	0.836660027	0	1	0	0	0	0	1	0	0	0	0	484	136	86	1	0	0	0	0	1	0	0	0	1309	36.18010503	54.18764246	1.733900257
H119614	C	4	4	4	42	42	42	182	-117.44	45.041	5896.129883	3.770567042	0.38	0.6164414	0	1	0	0	0	0	0	0	1	0	0	1080	96	127	0	1	0	0	0	0	0	1	0	1451	38.09199391	29.17877919	1.465067118
H119633	C	7	5	5	15	15	1	228	-117.357	45.23	1292.609985	3.111467507	0.13	0.360555128	0	1	0	0	0	0	0	0	1	0	0	1595	73	157	0	0	1	0	0	0	0	0	0	2089	45.70557953	4.673875132	0.669677106
H119645	C	24	24	20	78	42	42	227	-117.153	45.215	254.7720032	2.406151702	1.67	1.292284798	0	1	0	0	0	0	0	0	1	0	0	1724	75	158	0	0	1	0	0	0	0	0	0	2370	48.68264578	26.65583688	1.425792322
H119663	C	105	31	31	6	3	1	225	-117.235	45.22	5090.259766	3.706739946	0.25	0.5	0	1	0	0	0	0	0	0	1	0	0	1607	78	155	0	0	1	0	0	0	0	0	0	1791	42.32020794	17.8365141	1.251309982
H121254	C	16	16	10	7	7	7	180	-118.1496	42.2355	17437.09961	4.241474248	0.2	0.447213595	0	0	1	0	0	0	0	0	0	1	0	323	150	59	0	0	1	0	0	0	0	0	0	1473	38.37968212	26.40992208	1.42176712
H121255	C	16	16	10	74	16	11	181	-118.7609	42.5382	495.4100037	2.694964772	1.1	1.048808848	0	0	1	0	0	0	0	0	0	1	0	751	121	89	0	0	1	0	0	0	0	0	0	1851	43.02324953	24.48358847	1.388875071
H121257	C	62	3	1	11	11	11	184	-121.93698	43.21295	3283.550049	3.51634364	0.9	0.948683298	0	1	0	0	0	0	1	0	0	0	0	1000	117	112	0	0	1	0	0	0	0	0	0	1693	41.14608122	51.57204223	1.71241433
H121258	C	20	20	20	1	1	1	185	-122.12968	42.56007	2437.76001	3.386990948	1.8	1.341640786	0	1	0	0	0	1	0	0	0	0	0	1348	125	132	1	0	0	1	0	0	0	0	0	1487	38.56163897	88.87261913	1.948767979
H121259	C	110	110	31	1	1	1	186	-121.29843	43.00178	2339.909912	3.369199137	2	1.414213562	0	1	0	0	0	0	1	0	0	0	0	1026	117	112	0	0	1	0	0	0	0	0	0	1784	42.23742416	96.74523062	1.985629564
H121261	C	110	110	31	106	36	11	188	-120.7507	42.48855	3984.790039	3.600405443	1.2	1.095445115	0	1	0	0	0	0	1	0	0	0	0	721	131	94	0	1	0	0	0	0	0	1	0	1779	42.17819342	75.75023205	1.879383968
H121271	C	110	110	31	106	36	11	205	-118.05983	45.98912	9193.540039	3.963482772	1.1	1.048808848	0	1	0	0	0	0	0	0	1	0	0	1083	142	124	0	1	0	0	0	0	0	1	0	735	27.11088342	105.4712446	2.023134071
H121276	C	110	110	31	3	3	1	210	-117.61222	45.15672	3825.560059	3.582695024	10.2	3.193743885	0	1	0	0	0	0	0	0	1	0	0	1092	96	135	0	1	0	0	0	0	0	1	0	1314	36.24913792	630.8813426	2.799947684
H121277	C	10	10	10	6	3	1	211	-117.021	45.11043	17208	4.235730397	0.1	0.316227766	0	1	0	0	0	0	0	0	1	0	0	1288	107	131	1	0	0	1	0	0	0	0	0	1390	37.28270376	13.11792667	1.117865199
H121278	C	110	110	31	3	3	1	214	-118.24465	44.82608	1377.98999	3.139246063	8	2.828427125	0	1	0	0	0	0	0	0	1	0	0	822	107	122	1	0	0	1	0	0	0	0	0	1757	41.91658383	296.9703005	2.472713018
H121279	C	110	110	31	3	3	1	215	-118.77542	44.25867	1183.729981	3.073252647	10.5	3.240370349	0	1	0	0	0	0	0	0	1	0	0	690	120	106	0	1	0	0	0	0	0	1	0	1581	39.7617907	361.2564606	2.557815623
H121281	C	105	31	31	106	36	11	217	-118.31527	44.25178	4246.399902	3.628020891	13	3.605551275	0	1	0	0	0	0	0	0	1	0	0	723	119	98	0	1	0	0	0	0	0	1	0	1573	39.66106403	847.1372873	2.927953798
H121282	C	4	4	4	1	1	1	224	-121.68267	44.58685	1167.869995	3.067394501	0.5	0.707106781	0	1	0	0	0	0	1	0	0	0	0	769	141	100	0	1	0	0	0	0	0	1	0	957	30.9354166	17.08705647	1.232667255
H121284	C	20	20	20	1	1	1	226	-121.37563	45.31173	1367.729981	3.136000367	10.4	3.224903099	0	1	0	0	0	0	1	0	0	0	0	574	143	94	0	1	0	0	0	0	0	1	0	794	28.17800561	384.6214694	2.585033523
00001CSR	N							178	-123.83158	45.35165	1485.878934	3.171983426	0.2	0.447213595	1	0	0	1	0	0	0	0	0	0	0	2279	155	180	0	0	0	0	1	0	0	0	0	44	6.633249581	7.709420041	0.887021708
00001REM	N							192	-122.60988	43.90181	2572.93232	3.410428362	1.9	1.378404875	0	1	0	0	0	1	0	0	0	0	0	1516	166	160	0	0	1	0	0	0	0	0	0	369	19.20937271	96.37575253	1.983967782
00002CSR	N							179	-123.84827	45.89721	2616.334571	3.41769328	1	1	1	0	0	1	0	0	0	0	0	0	0	2997	151	207	0	1	0	0	0	0	0	1	0	51	7.141428429	51.150118	1.70884664
00002REM	N							193	-122.6034	44.02301	5513.302535	3.741411824	0.8	0.894427191	0	1	0	0	0	1	0	0	0	0	0	1746	164	168	0	0	1	0	0	0	0	0	0	409	20.22374842	59.4012931	1.773795899
00002WSE	N							180	-123.29797	45.88232	13017.59919	4.114530895	0.4	0.632455532	1	0	0	1	0	0	0	0	0	0	0	1535	153	164	0	0	0	0	1	0	0	0	0	226	15.03329638	45.63787758	1.659325439
00003REM	N							194	-122.31581	43.62585	569.563512	2.755542159	10.5	3.240370349	0	1	0	0	0	1	0	0	0	0	0	1504	147	155	0	0	1	0	0	0	0	0	0	795	28.19574436	250.5880628	2.398960379
00003WSE	N							214	-123.84749	43.32637	910.1169504	2.959097203	2.6	1.61245155	1	0	0	1	0	0	0	0	0	0	0	1841	176	157	0	0	0	0	1	0	0	0	0	171	13.07669683	78.43717604	1.894521949
00004CSR	N							180	-123.39458	44.26556	830.3112188	2.919240906	7	2.645751311	1	0	0	0	1	0	0	0	0	0	0	1511	176	148	0	0	0	0	1	0	0	0	0	161	12.68857754	201.7058495	2.304718493
00004JDE	N							213	-118.87958	44.83708	2149.357389	3.332308635	7.3	2.701851217	0	1	0	0	0	0	0	0	1	0	0	500	135	98	0	1	0	0	0	0	0	1	0	1305	36.12478374	338.4364863	2.529477178
00004REM	N							234	-122.26077	44.3924	223.5673944	2.349408465	25.8	5.07937004	0	1	0	0	0	1	0	0	0	0	0	2084	141	171	0	0	1	0	0	0	0	0	0	635	25.19920634	385.7659918	2.586323939
00004WSE	N							235	-120.57656	42.23773	578.8850914	2.762592365	15.3	3.911521443	0	1	0	0	0	0	1	0	0	0	0	718	142	99	0	1	0	0	0	0	0	1	0	1804	42.47352116	368.1184742	2.565987613
00005CSR	N							178	-122.8907	43.74032	775.4931786	2.889577982	3.6	1.897366596	0	1	0	0	0	1	0	0	0	0	0	1272	167	152	0	0	0	0	1	0	0	0	0	270	16.43167673	100.2516414	2.001091492
00005REM	N							235	-122.14792	44.46161	4068.157514	3.60939776	2.4	1.549193338	0	1	0	0	0	1	0	0	0	0	0	2264	132	173	0	0	1	0	0	0	0	0	0	787	28.05352028	153.0770632	2.184910122
00006JDE	N							215	-118.89051	44.92461	1681.193515	3.225617706	4.1	2.024845673	0	1	0	0	0	0	0	0	1	0	0	504	135	99	0	1	0	0	0	0	0	1	0	1263	35.53871129	168.1096755	2.22559271
00006REM	N							236	-122.37892	44.51235	27281.91461	4.435874845	1.8	1.341640786	0	1	0	0	0	1	0	0	0	0	0	2021	153	170	0	0	1	0	0	0	0	0	0	317	17.80449381	297.3102812	2.473209928
00006WSE	N							256	-118.3767	44.956	1546.964229	3.189480271	2.8	1.673320053	0	1	0	0	0	0	0	0	1	0	0	790	111	119	0	0	1	0	0	0	0	0	0	1703	41.26742056	110.1281052	2.041898167
00007CSR	N							180	-122.8415	43.57916	762.9550292	2.88249894	5.1	2.258317958	0	1	0	0	0	1	0	0	0	0	0	1585	162	159	0	0	0	0	1	0	0	0	0	501	22.38302929	140.870367	2.148819646
00007REM	N							236	-122.20158	44.26718	3086.93616	3.489527648	2	1.414213562	0	1	0	0	0	1	0	0	0	0	0	1999	145	166	0	0	1	0	0	0	0	0	0	607	24.63736999	111.120406	2.04579382
00008CSR	N							179	-123.48321	42.52352	27630.40549	4.441387258	1.13	1.063014581	0	1	0	0	0	0	0	0	0	0	1	887	172	109	1	0	0	1	0	0	0	0	0	242	15.55634919	187.8330769	2.273772073
00009CSR	N							180	-123.04084	42.42398	2187.113447	3.339871311	1.3	1.140175425	0	1	0	0	0	0	0	0	0	0	1	574	191	95	1	0	0	1	0	0	0	0	0	338	18.38477631	60.79656015	1.783879008
00009JDE	N							220	-120.133	44.47614	440.524434	2.643970002	5.2	2.28035085	0	1	0	0	0	0	0	0	1	0	0	579	126	86	0	0	1	0	0	0	0	0	0	1446	38.02630668	109.1411045	2.037988345
00009REM	N							234	-122.25615	44.1268	523.6054026	2.719004119	12	3.464101615	0	1	0	0	0	1	0	0	0	0	0	1768	165	160	0	0	1	0	0	0	0	0	0	594	24.37211521	274.5891075	2.438683306
00010CSR	N							181	-123.21059	42.60231	810.7973608	2.908912326	3.5	1.870828693	0	1	0	0	0	0	0	0	0	0	1	1043	166	120	0	1	0	0	0	0	0	1	0	602	24.53568829	99.66076294	1.998524208
00010JDE	N							221	-119.41414	44.75606	53852.59299	4.731206619	1.7	1.303840481	0	1	0	0	0	0	0	0	1	0	0	346	174	87	0	0	0	0	1	0	0	0	0	713	26.70205985	394.5047449	2.596052231
00010WSE	N							215	-123.82788	43.01943	4946.68532	3.694314284	2.9	1.702938637	1	0	0	1	0	0	0	0	0	0	0	1768	169	153	0	0	0	0	1	0	0	0	0	361	19	203.9647605	2.30955514
00011GRD	N							202	-118.38265	45.27368	4876.224634	3.688083704	1.8	1.341640786	0	1	0	0	0	0	0	0	1	0	0	618	141	110	0	1	0	0	0	0	0	1	0	1022	31.96873473	125.693945	2.099314357
00011JDE	N							221	-118.4947	44.84419	200.1446958	2.301344085	9.9	3.146426545	0	1	0	0	0	0	0	0	1	0	0	624	120	108	0	0	1	0	0	0	0	0	0	1366	36.95943723	140.0577796	2.146307237
00011WSE	N							237	-118.29447	42.04374	2039.93777	3.309616919	4.3	2.073644135	0	0	1	0	0	0	0	0	0	1	0	542	118	72	0	1	0	0	0	0	0	1	0	2032	45.07771068	194.2123821	2.288276915
